run_accession	study_accession	secondary_study_accession	experiment_accession	sample_accession	secondary_sample_accession	sample_alias	sample_title	library_name	library_strategy	library_source	library_selection	library_layout	instrument_platform	instrument_model	read_count	base_count	fastq_ftp	fastq_md5	fastq_bytes	first_public
ERR6389099	PRJEB46736	ERP130952	ERX6018197	SAMEA9490381	ERS7213221	E-MTAB-10801:OCM92-T	OCM92-T	OCM92-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	102558890	7708654637	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/009/ERR6389099/ERR6389099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/009/ERR6389099/ERR6389099_2.fastq.gz	597788d85ee8d23ccc19fe91a4593d87;be59f245311e5ed5c681b0f7bb2d6de4	2201174264;2605157539	2021-08-09
ERR6389100	PRJEB46736	ERP130952	ERX6018198	SAMEA9490382	ERS7213222	E-MTAB-10801:OCM99-S	OCM99-S	OCM99-S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	116916302	8764178600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/000/ERR6389100/ERR6389100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/000/ERR6389100/ERR6389100_2.fastq.gz	426d51b915c8296c148dd2889e5f4e8b;19029337a625c0249084f4788ee20883	2472939021;2919823108	2021-08-09
ERR6389101	PRJEB46736	ERP130952	ERX6018199	SAMEA9490383	ERS7213223	E-MTAB-10801:OCM99-T	OCM99-T	OCM99-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	177600370	13336984396	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/001/ERR6389101/ERR6389101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/001/ERR6389101/ERR6389101_2.fastq.gz	a6e66411e7147cdc0237f6616876bcd8;4fb6159d87d6428aa52df1d3a7b05e4a	3754255923;4262799034	2021-08-09
ERR6389068	PRJEB46736	ERP130952	ERX6018166	SAMEA9490350	ERS7213190	E-MTAB-10801:OCM110-9-S	OCM110-9-S	OCM110-9-S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	96922142	7291189021	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/008/ERR6389068/ERR6389068_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/008/ERR6389068/ERR6389068_2.fastq.gz	1a017d0f12cb8efc921835280e14f5e0;2466eeefc03d2ef80021d24bfdf1c1b5	2083613505;2454928142	2021-08-09
ERR6389069	PRJEB46736	ERP130952	ERX6018167	SAMEA9490352	ERS7213191	E-MTAB-10801:OCM110-9-T	OCM110-9-T	OCM110-9-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	115875986	8708577145	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/009/ERR6389069/ERR6389069_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/009/ERR6389069/ERR6389069_2.fastq.gz	968428d761367701b59419b1f8276364;d3dba19a8a8caf7933b3d3064a95a4a5	2480863663;2861594565	2021-08-09
ERR6389074	PRJEB46736	ERP130952	ERX6018172	SAMEA9490356	ERS7213196	E-MTAB-10801:OCM118-S	OCM118-S	OCM118-S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	119619766	8999703606	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/004/ERR6389074/ERR6389074_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/004/ERR6389074/ERR6389074_2.fastq.gz	f1b3badff5dfdf0222290b60af69b974;3b685ffcf776d46e055310c33ab5643e	2471182414;2695077621	2021-08-09
ERR6389075	PRJEB46736	ERP130952	ERX6018173	SAMEA9490357	ERS7213197	E-MTAB-10801:OCM118-T	OCM118-T	OCM118-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	121793008	9159712012	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/005/ERR6389075/ERR6389075_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/005/ERR6389075/ERR6389075_2.fastq.gz	fbe2c5688046adc7ff598b4c264e1803;ac3200b41086366adb4b21600fbcf42a	2499291311;2724437396	2021-08-09
ERR6389080	PRJEB46736	ERP130952	ERX6018178	SAMEA9490362	ERS7213202	E-MTAB-10801:OCM149-T	OCM149-T	OCM149-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	96270898	7244448652	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/000/ERR6389080/ERR6389080_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/000/ERR6389080/ERR6389080_2.fastq.gz	f1d16cc9a5d4f8bf01cf30b18397435d;78c25746ca52e1457b7d31d55cd69e63	2076815547;2463188552	2021-08-09
ERR6389081	PRJEB46736	ERP130952	ERX6018179	SAMEA9490363	ERS7213203	E-MTAB-10801:OCM152-S	OCM152-S	OCM152-S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	118690812	8911847922	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/001/ERR6389081/ERR6389081_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/001/ERR6389081/ERR6389081_2.fastq.gz	40c1583aa25889557adf39af8f92cddf;ce6b9860bbc0104aec88fed4bfc75a32	2524796458;2982175340	2021-08-09
ERR6389082	PRJEB46736	ERP130952	ERX6018180	SAMEA9490364	ERS7213204	E-MTAB-10801:OCM152-T	OCM152-T	OCM152-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	110519608	8305040849	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/002/ERR6389082/ERR6389082_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/002/ERR6389082/ERR6389082_2.fastq.gz	c0ce3eb34f042b3890e13eb489aabc91;42ea1a2e91240e757a5915ebd77c91c4	2362112452;2732704861	2021-08-09
